condition,source,target,interaction_weight,source_order,target_order,interaction_count,source_vertex_weight
Aged,FAP3,FAP3,1.70161081000885,1,1,28,7.09959744469635
Aged,FAP3,Other FAPs,1.34752946453647,1,2,29,7.09959744469635
Aged,FAP3,MuSC,0.687003856138315,1,3,19,7.09959744469635
Aged,FAP3,Myogenic,0.13167246150494,1,4,13,7.09959744469635
Aged,FAP3,Immune,1.43166634809362,1,5,22,7.09959744469635
Aged,FAP3,Endothelial,1.00472698917864,1,6,38,7.09959744469635
Aged,FAP3,Vascular stromal,0.795387515235515,1,7,24,7.09959744469635
Aged,Other FAPs,FAP3,2.05118894272148,2,1,31,8.94691690022654
Aged,Other FAPs,Other FAPs,1.63511007066901,2,2,31,8.94691690022654
Aged,Other FAPs,MuSC,0.974255757360431,2,3,25,8.94691690022654
Aged,Other FAPs,Myogenic,0.155142207834695,2,4,16,8.94691690022654
Aged,Other FAPs,Immune,1.72354065689705,2,5,23,8.94691690022654
Aged,Other FAPs,Endothelial,1.21250078189219,2,6,43,8.94691690022654
Aged,Other FAPs,Vascular stromal,1.19517848285168,2,7,32,8.94691690022654
Aged,MuSC,FAP3,1.11247219604335,3,1,15,4.42981486434458
Aged,MuSC,Other FAPs,0.864188744143825,3,2,14,4.42981486434458
Aged,MuSC,MuSC,0.372027834164684,3,3,13,4.42981486434458
Aged,MuSC,Myogenic,0.0648146869342838,3,4,7,4.42981486434458
Aged,MuSC,Immune,0.969980236535759,3,5,10,4.42981486434458
Aged,MuSC,Endothelial,0.624468755962627,3,6,22,4.42981486434458
Aged,MuSC,Vascular stromal,0.421862410560052,3,7,13,4.42981486434458
Aged,Myogenic,FAP3,0.0574411278413349,4,1,4,0.308118971467613
Aged,Myogenic,Other FAPs,0.0445769784274862,4,2,4,0.308118971467613
Aged,Myogenic,MuSC,0.0333584983469949,4,3,6,0.308118971467613
Aged,Myogenic,Myogenic,0.00776467263490111,4,4,4,0.308118971467613
Aged,Myogenic,Immune,0.0465301286475009,4,5,2,0.308118971467613
Aged,Myogenic,Endothelial,0.064326105949573,4,6,10,0.308118971467613
Aged,Myogenic,Vascular stromal,0.0541214596198216,4,7,8,0.308118971467613
Aged,Immune,FAP3,0.00290611234574351,5,1,1,0.0401735859384535
Aged,Immune,Other FAPs,0.018484027794918,5,2,3,0.0401735859384535
Aged,Immune,MuSC,0,5,3,0,0.0401735859384535
Aged,Immune,Myogenic,0,5,4,0,0.0401735859384535
Aged,Immune,Immune,0.0168422776390667,5,5,5,0.0401735859384535
Aged,Immune,Endothelial,0.00194116815872528,5,6,1,0.0401735859384535
Aged,Immune,Vascular stromal,0,5,7,0,0.0401735859384535
Aged,Endothelial,FAP3,0.66050985720819,6,1,9,2.92612270393112
Aged,Endothelial,Other FAPs,0.537326310132784,6,2,11,2.92612270393112
Aged,Endothelial,MuSC,0.287102053303584,6,3,13,2.92612270393112
Aged,Endothelial,Myogenic,0.0296782378855664,6,4,7,2.92612270393112
Aged,Endothelial,Immune,0.61379758672822,6,5,12,2.92612270393112
Aged,Endothelial,Endothelial,0.399444433279872,6,6,17,2.92612270393112
Aged,Endothelial,Vascular stromal,0.398264225392902,6,7,13,2.92612270393112
Aged,Vascular stromal,FAP3,1.08301875397427,7,1,17,4.66094209051303
Aged,Vascular stromal,Other FAPs,0.887203078035819,7,2,19,4.66094209051303
Aged,Vascular stromal,MuSC,0.437575983828502,7,3,13,4.66094209051303
Aged,Vascular stromal,Myogenic,0.0689688236301609,7,4,10,4.66094209051303
Aged,Vascular stromal,Immune,0.879191966937593,7,5,10,4.66094209051303
Aged,Vascular stromal,Endothelial,0.682205438923873,7,6,29,4.66094209051303
Aged,Vascular stromal,Vascular stromal,0.622778045182815,7,7,18,4.66094209051303
Young,FAP3,FAP3,1.56521128789943,1,1,23,9.88582526594679
Young,FAP3,Other FAPs,1.76976094376312,1,2,30,9.88582526594679
